State,Narcotic,NonNarcotic,Year,Percentage,From.Yearly.Mean,Yearly.Mean
MD,1762,50795,1994,3.3525505641493996,1.415359559329795,1.9371910048196046
ME,394,29936,1994,1.2990438509726343,-0.6381471538469703,1.9371910048196046
MI,1842,273151,1994,0.6698352321695461,-1.2673557726500584,1.9371910048196046
MN,797,61277,1994,1.2839514128298484,-0.6532395919897562,1.9371910048196046
MO,1460,54681,1994,2.600594930621115,0.6634039258015103,1.9371910048196046
MS,862,57796,1994,1.4695352722561288,-0.4676557325634758,1.9371910048196046
MT,537,9603,1994,5.29585798816568,3.358666983346075,1.9371910048196046
NC,3543,57178,1994,5.834884142224272,3.8976931374046675,1.9371910048196046
ND,72,5052,1994,1.405152224824356,-0.5320387799952486,1.9371910048196046
NE,345,25956,1994,1.311737196304323,-0.6254538085152817,1.9371910048196046
NH,500,17372,1994,2.7976723366159355,0.8604813317963309,1.9371910048196046
NJ,2118,64849,1994,3.1627518031269135,1.225560798307309,1.9371910048196046
NM,392,18602,1994,2.0638096240918187,0.12661861927221407,1.9371910048196046
NV,347,6432,1994,5.118749078035108,3.1815580732155038,1.9371910048196046
NY,2508,140783,1994,1.75028438631875,-0.18690661850085455,1.9371910048196046
OH,3809,231412,1994,1.6193282062400889,-0.3178627985795157,1.9371910048196046
OK,49,18298,1994,0.2670736360167875,-1.670117368802817,1.9371910048196046
OR,1923,44520,1994,4.1405593953878945,2.20336839056829,1.9371910048196046
PA,4409,164511,1994,2.61011129528771,0.6729202904681055,1.9371910048196046
RI,249,9475,1994,2.560674619498149,0.6234836146785443,1.9371910048196046
SC,1467,20055,1994,6.816281014775578,4.8790900099559735,1.9371910048196046
TX,1852,95327,1994,1.9057615328414577,-0.03142947197814694,1.9371910048196046
UT,463,17803,1994,2.5347640424833022,0.5975730376636976,1.9371910048196046
VA,2162,66673,1994,3.140844047359628,1.2036530425400236,1.9371910048196046
VT,428,13350,1994,3.10640150965307,1.1692105048334653,1.9371910048196046
WA,3459,96753,1994,3.451682433241528,1.5144914284219233,1.9371910048196046
WI,1452,64309,1994,2.2079956205045543,0.27080461568494973,1.9371910048196046
WV,1033,48326,1994,2.092830081646711,0.15563907682710632,1.9371910048196046
WY,77,2375,1994,3.1402936378466557,1.2031026330270511,1.9371910048196046
XX,78384,3918707,1994,1.9610261562721487,0.023835151452544112,1.9371910048196046
AK,408,9195,1995,4.248672289909403,2.681406470545003,1.5672658193644005
AL,1414,60185,1995,2.2954918099319794,0.728225990567579,1.5672658193644005
AR,932,24887,1995,3.609744761609667,2.0424789422452667,1.5672658193644005
CA,4664,1044861,1995,0.4443915104452014,-1.122874308919199,1.5672658193644005
CO,163,16945,1995,0.9527706336216974,-0.614495185742703,1.5672658193644005
CT,3338,59428,1995,5.31816588598923,3.7509000666248298,1.5672658193644005
DC,79,12737,1995,0.6164169787765293,-0.9508488405878711,1.5672658193644005
DE,41,12444,1995,0.3283940728874649,-1.2388717464769354,1.5672658193644005
FL,2243,108683,1995,2.022068766565097,0.4548029472006967,1.5672658193644005
GA,1920,97717,1995,1.9269949918203078,0.3597291724559073,1.5672658193644005
HI,195,3892,1995,4.771225838023,3.2039600186585995,1.5672658193644005
IA,324,30638,1995,1.0464440281635554,-0.520821791200845,1.5672658193644005
ID,490,9519,1995,4.895593965431113,3.3283281460667125,1.5672658193644005
IL,1742,242308,1995,0.7137881581643105,-0.8534776612000899,1.5672658193644005
IN,540,44433,1995,1.2007204322593557,-0.3665453871050448,1.5672658193644005
KS,129,7979,1995,1.5910212136161814,0.02375539425178097,1.5672658193644005
KY,1282,135853,1995,0.9348452255077114,-0.632420593856689,1.5672658193644005
LA,1576,70460,1995,2.1877949913931922,0.6205291720287918,1.5672658193644005
MA,2045,140991,1995,1.4297100030761487,-0.13755581628825175,1.5672658193644005
MD,1864,56498,1995,3.193859017854083,1.6265931984896824,1.5672658193644005
ME,478,41586,1995,1.1363636363636365,-0.430902183000764,1.5672658193644005
MI,1891,294659,1995,0.6376664980610353,-0.9295993213033652,1.5672658193644005
MN,740,71818,1995,1.0198737561674798,-0.5473920631969207,1.5672658193644005
MO,1578,85279,1995,1.8167793039133289,0.2495134845489284,1.5672658193644005
MS,625,57435,1995,1.076472614536686,-0.4907932048277144,1.5672658193644005
MT,656,12294,1995,5.065637065637066,3.498371246272666,1.5672658193644005
NC,4116,85365,1995,4.599859187984041,3.032593368619641,1.5672658193644005
ND,33,5993,1995,0.5476269498838368,-1.0196388694805636,1.5672658193644005
NE,331,33075,1995,0.990839968867868,-0.5764258504965325,1.5672658193644005
NH,830,26607,1995,3.0251120749353064,1.457846255570906,1.5672658193644005
NJ,1982,57671,1995,3.3225487402142386,1.7552829208498382,1.5672658193644005
NM,296,25597,1995,1.1431661066697563,-0.4240997126946442,1.5672658193644005
NV,325,8982,1995,3.4919952723756307,1.9247294530112302,1.5672658193644005
NY,4387,343070,1995,1.2626022788431375,-0.304663540521263,1.5672658193644005
OH,2682,195757,1995,1.3515488386859438,-0.21571698067845668,1.5672658193644005
OK,127,21482,1995,0.5877180804294507,-0.9795477389349497,1.5672658193644005
OR,1528,32685,1995,4.466138602285681,2.8988727829212806,1.5672658193644005
PA,4498,201953,1995,2.1787252180904915,0.611459398726091,1.5672658193644005
RI,204,16429,1995,1.2264774845187278,-0.3407883348456726,1.5672658193644005
SC,1148,28730,1995,3.8422919874154893,2.275026168051089,1.5672658193644005
TX,2145,122583,1995,1.7197421589378488,0.1524763395734483,1.5672658193644005
UT,854,25729,1995,3.2125794680811044,1.645313648716704,1.5672658193644005
VA,2453,81313,1995,2.928395769166488,1.3611299498020875,1.5672658193644005
VT,200,13280,1995,1.483679525222552,-0.08358629414184837,1.5672658193644005
WA,3274,67254,1995,4.642127949183303,3.0748621298189027,1.5672658193644005
WI,2944,73784,1995,3.8369304556354913,2.2696646362710906,1.5672658193644005
WV,1097,57136,1995,1.883811584496763,0.31654576513236243,1.5672658193644005
WY,39,2722,1995,1.4125316914161534,-0.15473412794824704,1.5672658193644005
XX,70961,4375352,1995,1.5959515220813287,0.028685702716928274,1.5672658193644005
AK,442,10229,1996,4.1420672851654015,2.0363435244973624,2.105723760668039
AL,2490,67652,1996,3.549941547147216,1.444217786479177,2.105723760668039
AR,1297,28262,1996,4.387834500490544,2.282110739822505,2.105723760668039
CA,11039,1198690,1996,0.9125184235477533,-1.1932053371202858,2.105723760668039
CO,346,24040,1996,1.418846879357008,-0.6868768813110311,2.105723760668039
CT,3308,51572,1996,6.0276967930029155,3.9219730323348765,2.105723760668039
DC,313,13749,1996,2.225856919357133,0.12013315868909391,2.105723760668039
DE,58,14648,1996,0.39439684482524145,-1.7113269158427975,2.105723760668039
FL,4242,155016,1996,2.6636024563915157,0.5578786957234767,2.105723760668039
GA,2763,116006,1996,2.3263646237654605,0.22064086309742148,2.105723760668039
HI,670,8684,1996,7.162711139619414,5.056987378951375,2.105723760668039
IA,1106,43557,1996,2.4763226832053378,0.37059892253729876,2.105723760668039
ID,763,10778,1996,6.6112121999826705,4.5054884393146315,2.105723760668039
IL,2905,291427,1996,0.9869806884742399,-1.1187430721937992,2.105723760668039
IN,401,28230,1996,1.4005797911354825,-0.7051439695325565,2.105723760668039
KS,207,15914,1996,1.2840394516469202,-0.8216843090211188,2.105723760668039
KY,2202,166681,1996,1.30386125305685,-0.8018625076111889,2.105723760668039
LA,2284,84647,1996,2.627371133427661,0.521647372759622,2.105723760668039
MA,3115,203669,1996,1.5064028164654906,-0.5993209442025484,2.105723760668039
MD,2573,66903,1996,3.7034371581553343,1.5977133974872952,2.105723760668039
ME,1016,44830,1996,2.2161148191772453,0.11039105850920627,2.105723760668039
MI,3605,276866,1996,1.2853378780693905,-0.8203858825986485,2.105723760668039
MN,1209,68666,1996,1.7302325581395348,-0.3754912025285042,2.105723760668039
MO,1661,67911,1996,2.3874547231644914,0.28173096249645235,2.105723760668039
MS,941,58244,1996,1.5899298808819802,-0.5157938797860588,2.105723760668039
MT,993,11574,1996,7.901647171162568,5.795923410494529,2.105723760668039
